META; english/league-1/southend-v-walsall; 2017-03-12 00:21:36 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Walsall; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/southend-v-walsall; 2017-03-12 04:21:49 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Walsall; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/southend-v-walsall; 2017-03-12 08:22:18 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Walsall; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/southend-v-walsall; 2017-03-12 12:21:27 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 8/15; ; 
Walsall; 21/10; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; english/league-1/southend-v-walsall; 2017-03-12 16:21:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 4/6; ; 
Walsall; 21/10; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/southend-v-walsall; 2017-03-12 20:22:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; ; ; 23/20; ; 13/10; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 4/6; ; 
Walsall; 21/10; 12/5; ; ; ; ; 12/5; ; 85/40; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 00:21:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; ; ; 23/20; ; 13/10; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 4/6; ; 
Walsall; 21/10; 12/5; ; ; ; ; 12/5; ; 85/40; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 04:20:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; 6/5; ; 23/20; ; 13/10; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 11/10; ; 
Walsall; 21/10; 12/5; ; ; 12/5; ; 12/5; ; 85/40; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 08:21:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; ; ; 5/4; ; 6/5; 11/10; 13/10; ; 6/5; 6/5; 6/5; 6/5; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 16/13; ; ; 10/9; ; 
Walsall; 21/10; 12/5; ; ; 9/4; ; 23/10; 23/10; 85/40; ; 21/10; 21/10; 11/5; 11/5; ; 9/4; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 23/10; 5/2; ; 11/5; 5/2; 47/20; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; 21/10; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 12:22:03 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 5/4; 21/20; 5/4; ; 5/4; ; 5/4; 11/10; 13/10; ; 6/5; 6/5; 6/5; 5/4; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 16/13; ; ; 10/9; ; 
Walsall; 21/10; 12/5; 43/20; ; 9/4; ; 9/4; 23/10; 85/40; ; 21/10; 21/10; 11/5; 11/5; ; 9/4; 21/10; ; 21/10; 21/10; ; ; 28/13; ; ; 19/10; ; 
Draw; 12/5; 23/10; 23/10; ; 12/5; ; 12/5; 23/10; 5/2; ; 11/5; 5/2; 47/20; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; 21/10; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 16:25:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 21/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-13 20:22:53 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 21/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 13/5; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 00:21:11 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 04:21:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 08:21:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; ; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; ; 5/2; 11/5; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; ; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 12:22:33 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; ; ; 16/13; 23/20; 16/13; ; 10/9; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 9/4; 5/2; 11/5; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; ; ; 40/17; 23/10; 40/17; ; 9/4; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; ; ; 28/13; 23/10; 28/13; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 16:21:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; ; 10/9; 16/13; 23/20; 16/13; ; 10/9; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 11/5; 5/2; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; ; 5/2; 40/17; 23/10; 40/17; ; 9/4; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; ; 21/10; 28/13; 23/10; 28/13; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-14 20:22:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; 5/4; 10/9; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; 62/25; 21/10; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 5/2; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-15 00:21:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 6/5; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 21/20; 6/5; 11/10; 5/4; 10/9; 16/13; 23/20; 16/13; ; 10/9; ; 
Walsall; 12/5; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 5/2; 21/10; 23/10; 62/25; 21/10; 28/13; 23/10; 28/13; ; 11/5; ; 
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 5/2; 40/17; 23/10; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-15 04:21:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 23/20; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 21/20; 21/20; 6/5; ; 6/5; 21/20; 16/13; 11/10; 16/13; ; 21/20; ; 
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; 12/5; 5/2; 40/17; 12/5; 40/17; ; 9/4; ; 
Walsall; 12/5; 23/10; 49/20; 23/10; 5/2; 23/10; 5/2; 11/5; 12/5; 13/5; 23/10; 12/5; 49/20; 12/5; 5/2; 5/2; 27/11; 5/2; 21/10; ; 13/5; 9/4; 28/13; 12/5; 28/13; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2017-03-15 08:20:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 23/20; 23/20; 6/5; 23/20; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 21/20; 21/20; 10/9; 21/20; 6/5; 21/20; 19/17; 11/10; 19/17; ; 21/20; ; 
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 12/5; 27/11; ; 9/4; ; 
Walsall; 12/5; 23/10; 49/20; 23/10; 5/2; 23/10; 5/2; 11/5; 12/5; 13/5; 23/10; 12/5; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 9/4; 5/2; 13/5; 9/4; 9/4; 12/5; 9/4; ; 23/10; ; 
META; english/league-1/southend-v-walsall; 2017-03-15 12:23:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 21/20; 11/10; 11/10; 6/5; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 15/13; 21/20; 21/20; 10/9; 21/20; 6/5; 15/14; 19/17; 11/10; 19/17; ; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 11/5; 12/5; 9/4; 11/5; 23/10; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 23/10; 27/11; ; 9/4; 23/10; 
Walsall; 12/5; 5/2; 13/5; 23/10; 13/5; 12/5; 5/2; 11/5; 5/2; 13/5; 12/5; 5/2; 51/20; 5/2; 13/5; 5/2; 28/11; 5/2; 9/4; 28/11; 13/5; 23/10; 9/4; 5/2; 9/4; ; 12/5; 23/10; 
META; english/league-1/southend-v-walsall; 2017-03-15 16:21:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 1; 21/20; 21/20; 6/5; 11/10; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 10/9; 21/20; 6/5; 17/16; 19/17; 21/20; 19/17; ; 10/9; 21/20; 
Draw; 5/2; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 40/17; 27/11; 12/5; 27/11; ; 23/10; 23/10; 
Walsall; 13/5; 13/5; 13/5; 23/10; 13/5; 12/5; 13/5; 9/4; 5/2; 13/5; 13/5; 13/5; 51/20; 13/5; 13/5; 13/5; 28/11; 5/2; 9/4; 28/11; 13/5; 40/17; 9/4; 13/5; 9/4; ; 12/5; 12/5; 
META; english/league-1/southend-v-walsall; 2017-03-15 20:21:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 1; 1; 21/20; 1; 21/20; 19/20; 1; 11/10; 11/10; 1; 1; 21/20; 1; 1; 11/10; 21/20; 21/20; 21/20; 10/9; 21/20; 57/50; 1; 19/17; 1; 19/17; ; 10/11; 20/21; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 5/2; 40/17; 12/5; 12/5; 40/17; 12/5; 40/17; 27/11; 12/5; 27/11; ; 21/10; 21/10; 
Walsall; 13/5; 11/4; 13/5; 11/4; 11/4; 5/2; 14/5; 12/5; 13/5; 14/5; 11/4; 11/4; 53/20; 27/10; 13/5; 11/4; 13/5; 5/2; 9/4; 13/5; 139/50; 5/2; 9/4; 13/5; 9/4; ; 5/2; 23/10; 
META; english/league-1/southend-v-walsall; 2017-03-16 00:26:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 1; 1; 21/20; 1; 21/20; 19/20; 1; 11/10; 11/10; 1; 1; 21/20; 1; 1; 11/10; 21/20; 21/20; 21/20; 10/9; 21/20; 57/50; 1; 19/17; 1; 19/17; ; 20/21; 20/21; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 5/2; 40/17; 12/5; 12/5; 40/17; 12/5; 40/17; 27/11; 12/5; 27/11; ; 21/10; 21/10; 
Walsall; 13/5; 11/4; 13/5; 11/4; 11/4; 5/2; 14/5; 12/5; 13/5; 14/5; 11/4; 11/4; 53/20; 27/10; 13/5; 11/4; 45/17; 5/2; 9/4; 45/17; 139/50; 5/2; 9/4; 13/5; 9/4; ; 5/2; 23/10; 
META; english/league-1/southend-v-walsall; 2017-03-16 04:21:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Southend; 1; 1; 21/20; 1; 21/20; 19/20; 1; 1; 11/10; 1; 1; 21/20; 1; 1; 11/10; 21/20; 1; ; 10/11; 1; 57/50; 1; 11/12; 1; 11/12; ; 20/21; 20/21; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 5/2; 40/17; ; 12/5; 40/17; 12/5; 40/17; 27/11; 12/5; 27/11; ; 21/10; 21/10; 
Walsall; 13/5; 11/4; 13/5; 11/4; 11/4; 5/2; 14/5; 13/5; 13/5; 14/5; 11/4; 11/4; 27/10; 27/10; 13/5; 14/5; 11/4; ; 14/5; 11/4; 139/50; 5/2; 56/19; 13/5; 56/19; ; 13/5; 23/10; 
