META; english/league-1/rochdale-v-gillingham; 2017-03-12 00:21:31 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-12 04:21:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-12 08:22:13 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-12 12:21:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 10/11; ; 
Gillingham; 3; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 21/20; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-12 16:21:17 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 12/5; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 6/5; ; 
Gillingham; 3; 16/5; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-12 20:22:42 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; ; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 12/5; 12/5; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 6/5; ; 
Gillingham; 3; 16/5; ; ; ; ; 10/3; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-13 00:20:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; ; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; 1/2; ; 
Draw; 12/5; 12/5; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 6/5; ; 
Gillingham; 3; 16/5; ; ; ; ; 10/3; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-13 04:20:34 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; 19/20; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 9/4; ; 
Gillingham; 3; 16/5; ; ; 16/5; ; 10/3; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 11/4; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-13 08:20:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; ; ; 10/11; ; 9/10; 10/11; 10/11; ; 20/23; 20/23; 17/20; 10/11; ; 10/11; 10/11; ; 5/6; 10/11; ; ; 7/8; ; ; 5/6; ; 
Draw; 12/5; 12/5; ; ; 13/5; ; 5/2; 12/5; 5/2; ; 23/10; 5/2; 49/20; 5/2; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 27/11; ; ; 9/4; ; 
Gillingham; 3; 16/5; ; ; 16/5; ; 16/5; 3; 3; ; 29/10; 3; 16/5; 3; ; 31/10; 56/19; ; 3; 56/19; ; ; 31/10; ; ; 11/4; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-13 12:21:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 10/11; 5/6; 10/11; ; 10/11; ; 9/10; 10/11; 10/11; ; 20/23; 20/23; 17/20; 10/11; ; 10/11; 13/15; ; 5/6; 13/15; ; ; 7/8; ; ; 5/6; ; 
Draw; 12/5; 12/5; 49/20; ; 5/2; ; 5/2; 12/5; 5/2; ; 23/10; 5/2; 49/20; 5/2; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 27/11; ; ; 9/4; ; 
Gillingham; 3; 16/5; 3; ; 16/5; ; 16/5; 3; 3; ; 29/10; 3; 16/5; 3; ; 31/10; 3; ; 3; 3; ; ; 31/10; ; ; 11/4; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-13 16:24:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 5/6; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 10/13; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; ; ; 7/9; 3/4; 7/9; ; 8/11; ; 
Rochdale; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 83/100; 13/17; 7/9; 3/4; 7/9; ; 8/11; ; 
Draw; 5/2; 13/5; 13/5; 11/4; 11/4; 12/5; 11/4; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 13/5; 11/4; 11/4; 28/11; 5/2; 5/2; 28/11; 13/5; 13/5; 28/11; 5/2; 28/11; ; 13/5; ; 
Gillingham; 15/4; 10/3; 17/5; 16/5; 18/5; 10/3; 17/5; 16/5; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 79/20; 33/10; 7/2; 15/4; 7/2; ; 3; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 00:20:57 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 83/100; 13/17; 7/9; 3/4; 7/9; ; 8/11; ; 
Draw; 5/2; 13/5; 13/5; 11/4; 11/4; 5/2; 11/4; 12/5; 13/5; 13/5; 5/2; 11/4; 27/10; 13/5; 11/4; 11/4; 28/11; 5/2; 5/2; 28/11; 13/5; 13/5; 28/11; 5/2; 28/11; ; 13/5; ; 
Gillingham; 15/4; 10/3; 17/5; 16/5; 7/2; 10/3; 17/5; 16/5; 7/2; 7/2; 13/4; 7/2; 7/2; 18/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 79/20; 33/10; 7/2; 7/2; 7/2; ; 3; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 04:21:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; ; 83/100; 13/17; 8/11; 3/4; 8/11; ; 8/11; ; 
Draw; 5/2; 13/5; 27/10; 11/4; 11/4; 5/2; 11/4; 12/5; 13/5; 13/5; 13/5; 14/5; 27/10; 13/5; 11/4; 11/4; 45/17; 5/2; 11/4; ; 13/5; 13/5; 11/4; 13/5; 11/4; ; 13/5; ; 
Gillingham; 15/4; 10/3; 10/3; 16/5; 7/2; 10/3; 17/5; 16/5; 7/2; 10/3; 16/5; 10/3; 7/2; 18/5; 7/2; 7/2; 38/11; 7/2; 7/2; ; 79/20; 33/10; 7/2; 7/2; 7/2; ; 3; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 08:20:43 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 83/100; 13/17; 8/11; 3/4; 8/11; ; 8/11; ; 
Draw; 5/2; 13/5; 27/10; 11/4; 11/4; 5/2; 11/4; 12/5; 13/5; 13/5; 13/5; 14/5; 27/10; 13/5; 11/4; 11/4; 45/17; 5/2; 11/4; 45/17; 13/5; 13/5; 11/4; 13/5; 11/4; ; 13/5; ; 
Gillingham; 15/4; 10/3; 10/3; 16/5; 7/2; 10/3; 17/5; 16/5; 7/2; 10/3; 16/5; 10/3; 7/2; 18/5; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 79/20; 33/10; 7/2; 7/2; 7/2; ; 3; ; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 12:23:36 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/9; 8/11; 14/19; 83/100; 13/17; 8/11; 3/4; 8/11; ; 8/11; 8/11; 
Draw; 5/2; 14/5; 27/10; 11/4; 11/4; 5/2; 14/5; 12/5; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 11/4; 14/5; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 11/4; 5/2; 11/4; ; 13/5; 27/10; 
Gillingham; 15/4; 16/5; 10/3; 16/5; 7/2; 10/3; 10/3; 16/5; 7/2; 7/2; 16/5; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 79/20; 33/10; 7/2; 7/2; 7/2; ; 3; 3; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 16:21:16 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 3/4; 3/4; 3/4; 4/5; 3/4; 7/10; 3/4; 4/6; 4/5; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 4/5; 9/13; 7/9; 8/11; 9/13; 83/100; 13/17; 8/11; 8/11; 8/11; ; 8/11; 8/11; 
Draw; 5/2; 14/5; 11/4; 11/4; 11/4; 5/2; 14/5; 13/5; 14/5; 13/5; 11/4; 13/5; 14/5; 13/5; 11/4; 14/5; 27/10; 5/2; 11/4; 27/10; 13/5; 13/5; 11/4; 13/5; 11/4; ; 27/10; 11/4; 
Gillingham; 15/4; 7/2; 7/2; 16/5; 19/5; 10/3; 18/5; 16/5; 7/2; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 7/2; 15/4; 7/2; 7/2; 15/4; 79/20; 33/10; 7/2; 15/4; 7/2; ; 10/3; 10/3; 
META; english/league-1/rochdale-v-gillingham; 2017-03-15 20:21:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 4/6; 8/11; 8/11; 8/11; 8/11; 4/6; 8/11; 8/11; 8/11; 7/10; 8/11; 8/11; 7/10; 7/10; 3/4; 8/11; 5/7; 7/9; 8/11; 9/13; 3/4; 7/10; 8/11; 7/10; 8/11; ; 4/6; 4/6; 
Draw; 13/5; 14/5; 14/5; 14/5; 3; 13/5; 3; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 11/4; 11/4; 14/5; 27/10; 5/2; 11/4; 11/4; 72/25; 27/10; 11/4; 13/5; 11/4; ; 14/5; 14/5; 
Gillingham; 17/4; 18/5; 37/10; 7/2; 19/5; 18/5; 18/5; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 19/5; 7/2; 4; 15/4; 7/2; 7/2; 50/13; 41/10; 7/2; 7/2; 4; 7/2; ; 7/2; 10/3; 
META; english/league-1/rochdale-v-gillingham; 2017-03-16 00:26:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 4/6; 8/11; 8/11; 8/11; 3/4; 4/6; 8/11; 8/11; 8/11; 7/10; 7/10; 8/11; 7/10; 7/10; 3/4; 8/11; 9/13; 7/9; 8/11; 9/13; 3/4; 7/10; 8/11; 7/10; 8/11; ; 4/6; 8/13; 
Draw; 13/5; 14/5; 14/5; 14/5; 11/4; 13/5; 14/5; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 27/10; 11/4; 14/5; 11/4; 5/2; 11/4; 11/4; 72/25; 27/10; 11/4; 13/5; 11/4; ; 14/5; 14/5; 
Gillingham; 17/4; 18/5; 37/10; 7/2; 19/5; 18/5; 19/5; 7/2; 7/2; 15/4; 15/4; 15/4; 15/4; 4; 7/2; 4; 50/13; 7/2; 7/2; 50/13; 41/10; 7/2; 7/2; 4; 7/2; ; 7/2; 7/2; 
META; english/league-1/rochdale-v-gillingham; 2017-03-16 04:20:57 GMT+2; 2017-03-18 15:00; e70300-dr003
Rochdale; 4/6; 8/11; 8/11; 8/11; 8/11; 4/6; 8/11; 8/11; 8/11; 7/10; 7/10; 8/11; 7/10; 7/10; 3/4; 8/11; 9/13; ; 8/11; 9/13; 3/4; 7/10; 8/11; 7/10; 8/11; ; 4/6; 4/6; 
Draw; 13/5; 14/5; 14/5; 14/5; 3; 13/5; 3; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 11/4; 11/4; 14/5; 27/10; ; 11/4; 27/10; 72/25; 27/10; 11/4; 13/5; 11/4; ; 14/5; 14/5; 
Gillingham; 17/4; 18/5; 37/10; 7/2; 19/5; 18/5; 18/5; 7/2; 19/5; 15/4; 15/4; 15/4; 15/4; 19/5; 7/2; 4; 50/13; ; 7/2; 50/13; 41/10; 7/2; 7/2; 4; 7/2; ; 7/2; 7/2; 
META; english/league-1/rochdale-v-gillingham; 2017-03-16 08:20:56 GMT+2; 2017-03-18 15:00; e70300-dr003
