META; english/league-1/oxford-v-fleetwood; 2017-04-05 10:20:25 GMT+3; 2017-04-05 19:45; e70300-dr003
Oxford; 23/20; 23/20; 5/4; 11/10; 23/20; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 23/20; 23/20; 6/5; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 19/17; 15/14; 23/20; 15/14; ; 10/9; 10/9; 23/20
Draw; 12/5; 9/4; 9/4; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; 9/4; 11/5; 23/10
Fleetwood; 11/4; 5/2; 27/10; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 68/25; 40/17; 45/17; 13/5; 45/17; ; 27/10; 13/5; 11/4
META; english/league-1/oxford-v-fleetwood; 2017-04-05 11:28:01 GMT+3; 2017-04-05 19:45; e70300-dr003
Oxford; 23/20; 23/20; 5/4; 11/10; 23/20; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 23/20; 23/20; 6/5; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 19/17; 15/14; 23/20; 15/14; ; 10/9; 10/9; 23/20
Draw; 12/5; 9/4; 9/4; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; 9/4; 21/10; 23/10
Fleetwood; 11/4; 5/2; 27/10; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 68/25; 40/17; 45/17; 13/5; 45/17; ; 13/5; 13/5; 11/4
META; english/league-1/oxford-v-fleetwood; 2017-04-05 13:00:40 GMT+3; 2017-04-05 19:45; e70300-dr003
Oxford; 23/20; 23/20; 5/4; 11/10; 23/20; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 6/5; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 19/17; 15/14; 23/20; 15/14; ; 10/9; 10/9; 23/20
Draw; 12/5; 9/4; 23/10; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 9/4; 5/2; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; ; 23/10; 11/5; 23/10
Fleetwood; 11/4; 5/2; 13/5; 5/2; 13/5; 23/10; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 28/11; 5/2; 13/5; 28/11; 68/25; 40/17; 45/17; 5/2; 45/17; ; 13/5; 13/5; 11/4
