Oxford; 13/8; 13/8; ; 17/10; 17/10; 31/20; 17/10; 7/5; 13/8; 13/8; 8/5; 13/8; 13/8; ; 17/10; 8/5; 8/5; 17/11; 8/5; 6/4; 8/5; ; 8/5; 17/11; 13/8; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 12/5; 9/4; 12/5; 21/10; 23/10; 23/10; 11/5; 12/5; 47/20; ; 11/5; 12/5; 9/4; 40/17; 23/10; 23/10; 9/4; ; 23/10; 40/17; 11/5; ; ; ; 
META; english/league-1/gillingham-v-oxford; 2016-12-29 04:22:18 GMT+2; 2017-01-02 15:00; e70300-dr003
Gillingham; 13/8; 13/8; ; 8/5; 17/10; 31/20; 13/8; 13/8; 13/8; 8/5; 31/20; 13/8; 8/5; ; 13/8; 8/5; 8/5; 5/3; 8/5; 13/8; 8/5; ; 6/4; 5/3; 13/8; ; ; ; 
Oxford; 13/8; 13/8; ; 17/10; 13/8; 31/20; 17/10; 7/5; 13/8; 13/8; 8/5; 13/8; 13/8; ; 17/10; 8/5; 17/11; 17/11; 8/5; 6/4; 17/11; ; 8/5; 17/11; 13/8; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 12/5; 9/4; 12/5; 21/10; 23/10; 23/10; 11/5; 12/5; 47/20; ; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; ; 23/10; 40/17; 11/5; ; ; ; 
META; english/league-1/gillingham-v-oxford; 2016-12-29 08:22:28 GMT+2; 2017-01-02 15:00; e70300-dr003
Gillingham; 13/8; 13/8; ; 8/5; 17/10; 31/20; 13/8; 13/8; 13/8; 8/5; 31/20; 13/8; 8/5; ; 13/8; 8/5; 28/17; 5/3; 8/5; 13/8; 28/17; ; 6/4; 5/3; 13/8; ; ; ; 
Oxford; 13/8; 13/8; ; 17/10; 13/8; 31/20; 17/10; 7/5; 13/8; 13/8; 8/5; 13/8; 13/8; ; 17/10; 8/5; 17/11; 17/11; 8/5; 6/4; 17/11; ; 8/5; 17/11; 13/8; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 12/5; 9/4; 12/5; 21/10; 23/10; 23/10; 11/5; 12/5; 47/20; ; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; ; 23/10; 40/17; 11/5; ; ; ; 
META; english/league-1/gillingham-v-oxford; 2016-12-29 12:22:59 GMT+2; 2017-01-02 15:00; e70300-dr003
Gillingham; 13/8; 13/8; ; 8/5; 17/10; 31/20; 13/8; 13/8; 13/8; 8/5; 31/20; 13/8; 8/5; ; 13/8; 8/5; 8/5; 5/3; 8/5; 13/8; 8/5; ; 6/4; 5/3; 13/8; ; ; ; 
