META; english/league-1/bradford-v-rotherham; 2017-09-15 11:50:39 GMT+3; 2017-09-16 15:00; e70300-dr003
Bradford; 6/5; 6/5; 6/5; 23/20; 6/5; 117/100; 5/4; 11/10; 8/7; 6/5; 6/5; 6/5; 6/5; 5/4; ; 15/13; 6/5; 8/7; 15/13; 123/100; 9/8; 8/7; 11/10; 6/5; 6/5; ; 10/9; 10/9; 6/5
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 40/17; 9/4; 23/10; 23/10; 47/20; 5/2; ; 23/10; 9/4; 40/17; 23/10; 61/25; 12/5; 40/17; 23/10; 12/5; 9/4; ; 23/10; 2; 12/5
Rotherham; 13/5; 23/10; 47/20; 12/5; 12/5; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; 23/10; 5/2; ; 12/5; 23/10; 40/17; 40/17; 5/2; 28/13; 40/17; 12/5; 23/10; 9/4; ; 23/10; 2; 5/2
