META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-27 22:25:04 GMT+2; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; ; ; ; ; 9/10; ; ; 23/20; ; ; ; 11/10; 6/5; ; 11/10; 5/4; ; ; ; ; ; ; ; 
Draw; 21/10; ; 2; 2; 21/10; ; ; ; ; 23/10; ; ; 21/10; ; ; ; 2; 21/10; ; 2; 21/10; ; ; ; ; ; ; ; 
Numancia; 13/5; ; 12/5; 23/10; 13/5; ; ; ; ; 14/5; ; ; 51/20; ; ; ; 5/2; 23/10; ; 5/2; 14/5; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 02:24:44 GMT+2; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; ; ; 11/10; 11/10; 6/5; 6/5; ; 23/20; ; ; ; 15/13; 6/5; 23/20; 15/13; 5/4; ; 7/6; ; 6/5; ; ; ; 
Draw; 21/10; ; 2; 2; 21/10; ; ; 2; 2; 2; 2; ; 21/10; ; ; ; 2; 21/10; 19/10; 2; 21/10; ; 37/19; ; 2; ; ; ; 
Numancia; 13/5; ; 47/20; 23/10; 13/5; ; ; 5/2; 23/10; 5/2; 23/10; ; 5/2; ; ; ; 5/2; 23/10; 13/5; 5/2; 14/5; ; 13/5; ; 45/17; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 06:24:19 GMT+2; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; 11/10; ; 11/10; ; 6/5; 6/5; 6/5; 23/20; ; ; ; 15/13; 6/5; 23/20; 15/13; 5/4; ; 7/6; ; 6/5; ; ; ; 
Draw; 21/10; ; 2; 2; 21/10; 2; ; 2; ; 2; 2; 21/10; 21/10; ; ; ; 37/19; 21/10; 19/10; 37/19; 21/10; ; 37/19; ; 2; ; ; ; 
Numancia; 13/5; ; 47/20; 23/10; 13/5; 23/10; ; 5/2; ; 5/2; 23/10; 12/5; 5/2; ; ; ; 5/2; 23/10; 13/5; 5/2; 14/5; ; 13/5; ; 45/17; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 10:24:15 GMT+2; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; 11/10; ; 11/10; 11/10; 6/5; 6/5; 6/5; 23/20; ; 6/5; ; 15/13; 6/5; 23/20; 15/13; 5/4; ; 7/6; ; 6/5; ; ; ; 
Draw; 21/10; ; 2; 2; 21/10; 2; ; 2; 2; 2; 2; 21/10; 21/10; ; 2; ; 37/19; 21/10; 19/10; 37/19; 21/10; ; 37/19; ; 2; ; ; ; 
Numancia; 13/5; ; 47/20; 23/10; 13/5; 23/10; ; 5/2; 23/10; 5/2; 23/10; 12/5; 5/2; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 14/5; ; 13/5; ; 45/17; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 14:27:53 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 6/5; 6/5; 6/5; 11/10; ; 11/10; 11/10; 6/5; 6/5; 23/20; 23/20; ; 6/5; ; 15/13; 6/5; 23/20; 15/13; 5/4; ; 7/6; ; 6/5; ; ; 23/20; 
Draw; 21/10; ; 2; 2; 21/10; 2; ; 2; 2; 2; 2; 21/10; 21/10; ; 2; ; 2; 21/10; 19/10; 2; 21/10; ; 37/19; ; 2; ; ; 2; 
Numancia; 13/5; ; 12/5; 23/10; 13/5; 23/10; ; 5/2; 12/5; 5/2; 12/5; 12/5; 51/20; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 14/5; ; 13/5; ; 45/17; ; ; 9/4; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 18:25:06 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; ; 5/4; 6/5; 6/5; 11/10; ; 11/10; 6/5; 13/10; 5/4; 23/20; 5/4; ; 13/10; ; 6/5; 6/5; 23/20; 6/5; 5/4; 5/4; 7/6; ; 6/5; ; ; 6/5; 
Draw; 21/10; ; 2; 2; 21/10; 2; ; 2; 15/8; 2; 2; 21/10; 21/10; ; 2; ; 37/19; 21/10; 19/10; 37/19; 21/10; 2; 37/19; ; 2; ; ; 19/10; 
Numancia; 13/5; ; 23/10; 23/10; 5/2; 23/10; ; 5/2; 11/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; ; 12/5; 23/10; 13/5; 12/5; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-28 22:26:32 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 11/10; ; 11/10; 6/5; 13/10; 5/4; 23/20; 5/4; ; 13/10; ; 6/5; 6/5; 23/20; 6/5; 5/4; 5/4; 7/6; ; 6/5; ; ; 6/5; 
Draw; 21/10; 2; 2; 2; 21/10; 2; ; 2; 15/8; 2; 2; 21/10; 21/10; ; 2; ; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 
Numancia; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; ; 5/2; 11/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; ; 27/11; 23/10; 13/5; 27/11; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-29 02:25:54 GMT+3; 2017-04-03 18:00; Nothing; Xlenovo
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 23/20; ; 11/10; 6/5; 13/10; 5/4; 5/4; 5/4; ; 13/10; ; 6/5; 6/5; 23/20; 6/5; 5/4; 5/4; 7/6; ; 6/5; ; ; 6/5; 
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 21/10; ; 2; ; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 
